material,x,y,z,photons,electrons,SL,E
scintillator,0,9,13,False,False,False,False
scintillator,0,9,14,False,False,False,False
scintillator,0,9,15,False,False,False,False
scintillator,0,9,16,False,False,False,False
scintillator,0,9,17,False,False,False,False
scintillator,0,9,18,False,False,False,False
scintillator,0,9,19,False,False,False,False
scintillator,0,9,20,False,False,False,False
scintillator,0,9,21,False,False,False,False
scintillator,0,9,22,False,False,False,False
scintillator,0,9,23,False,False,False,False
scintillator,0,9,24,False,False,False,False
scintillator,0,9,25,False,False,False,False
scintillator,0,9,26,False,False,False,False
scintillator,0,9,27,False,False,False,False
scintillator,0,9,28,False,False,False,False
scintillator,0,9,29,False,False,False,False
scintillator,0,9,30,False,False,False,False
scintillator,0,9,31,False,False,False,False
scintillator,0,9,32,False,False,False,False
scintillator,0,9,33,False,False,False,False
scintillator,0,9,34,False,False,False,False
scintillator,0,9,35,False,False,False,False
scintillator,0,9,36,False,False,False,False
scintillator,0,9,37,False,False,False,False
scintillator,0,9,38,False,False,False,False
scintillator,0,9,39,False,False,False,False
scintillator,0,9,40,False,False,False,False
scintillator,0,9,41,False,False,False,False
scintillator,0,9,42,False,False,False,False
scintillator,0,9,43,False,False,False,False
scintillator,0,9,44,False,False,False,False
scintillator,0,9,45,False,False,False,False
scintillator,0,9,46,False,False,False,False
scintillator,0,9,47,False,False,False,False
scintillator,0,9,48,False,False,False,False
scintillator,0,9,49,False,False,False,False
scintillator,0,9,50,False,False,False,False
scintillator,0,9,51,False,False,False,False
scintillator,0,9,52,False,False,False,False
scintillator,0,9,53,False,False,False,False
scintillator,0,9,54,False,False,False,False
scintillator,0,9,55,False,False,False,False
scintillator,0,9,56,False,False,False,False
scintillator,0,9,57,False,False,False,False
scintillator,0,9,58,False,False,False,False
scintillator,0,9,59,False,False,False,False
scintillator,0,9,60,False,False,False,False
scintillator,0,9,61,False,False,False,False
scintillator,0,9,62,False,False,False,False
scintillator,0,9,63,False,False,False,False
scintillator,0,9,64,False,False,False,False
scintillator,0,9,65,False,False,False,False
